                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9308,                0.19718,                0.76056,                 1.9348,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.7847,                0.23944,                0.83803,                 1.9205,             0.00036669,             0.00036669,             0.00036669
                      3,                 1.6923,                0.26761,                0.83099,                 1.9127,             0.00049246,             0.00049246,             0.00049246
                      4,                 1.5669,                0.30282,                0.88028,                 1.8856,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.4475,                0.33099,                0.87324,                 1.8707,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.3851,                0.35211,                0.87324,                 1.8627,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.3165,                0.35211,                0.89437,                 1.8475,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.2763,                0.32394,                0.88732,                 1.8512,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.2008,                0.35211,                0.89437,                 1.8412,             0.00014851,             0.00014851,             0.00014851
                     10,                  1.181,                0.34507,                0.88732,                 1.8443,             7.7826e-05,             7.7826e-05,             7.7826e-05
